SlotID,datetime,waitDays,hospital,email,telefon,telefaks
1,2026-03-30-08-00,2,KBC Zagreb,bojcen@kbc-zagreb.hr,+38512367720,+38514920216
2,2026-03-30-08-20,2,KBC Zagreb,bojcen@kbc-zagreb.hr,+38512367720,+38514920216
3,2026-03-30-08-40,2,KBC Zagreb,bojcen@kbc-zagreb.hr,+38512367720,+38514920216
4,2026-04-01-11-20,4,KBC Sestre milosrdnice (KBC SM VINOGRADSKA),"narucivanje.vinogradska@kbcsm.hr, narucivanje.ilica@kbcsm.hr, narucivanje.draskoviceva@kbcsm.hr",+38513787593,+38513787792
5,2026-04-01-11-30,4,KBC Sestre milosrdnice (KBC SM VINOGRADSKA),"narucivanje.vinogradska@kbcsm.hr, narucivanje.ilica@kbcsm.hr, narucivanje.draskoviceva@kbcsm.hr",+38513787593,+38513787792
6,2026-04-01-11-40,4,KBC Sestre milosrdnice (KBC SM VINOGRADSKA),"narucivanje.vinogradska@kbcsm.hr, narucivanje.ilica@kbcsm.hr, narucivanje.draskoviceva@kbcsm.hr",+38513787593,+38513787792
7,2026-07-17-11-20,111,Klinika za dječje bolesti Zagreb,kdb.narudzbe@kdb.hr,+38514600156,+38514600161
8,2026-07-17-11-40,111,Klinika za dječje bolesti Zagreb,kdb.narudzbe@kdb.hr,+38514600156,+38514600161
9,2026-07-17-12-00,111,Klinika za dječje bolesti Zagreb,kdb.narudzbe@kdb.hr,+38514600156,+38514600161
10,2026-07-17-12-20,111,Klinika za dječje bolesti Zagreb,kdb.narudzbe@kdb.hr,+38514600156,+38514600161
11,2026-07-20-10-40,114,Klinika za dječje bolesti Zagreb,kdb.narudzbe@kdb.hr,+38514600156,+38514600161
12,2026-08-19-11-20,144,KBC Sestre milosrdnice (KBC SM VINOGRADSKA),"narucivanje.vinogradska@kbcsm.hr, narucivanje.ilica@kbcsm.hr, narucivanje.draskoviceva@kbcsm.hr",+38513787593,+38513787792
13,2026-08-27-11-50,152,KBC Sestre milosrdnice (KBC SM VINOGRADSKA),"narucivanje.vinogradska@kbcsm.hr, narucivanje.ilica@kbcsm.hr, narucivanje.draskoviceva@kbcsm.hr",+38513787593,+38513787792
